"Type";"Name";"Count";"TotalTime";"OwnTime";"TotalWaitTime";"OwnWaitTime"
"ONREQUEST";"/Sites-RefArch-Site/-/null-null";"4";"33976414";"33976414";"10680643";"10680643"
"ONREQUEST";"/Sites-RefArch-Site/en_US/__Analytics-Start";"4";"12285022";"12285022";"1041476";"1041476"
"REST_BM";"v1/bootstrap";"1";"141190391";"141190391";"14316788";"14316788"
"REST_BM";"v1/code_profiler/categories";"1";"23383764";"23383764";"5852299";"5852299"
"REST_BM";"v1/code_profiler/config";"2";"29073919";"29073919";"4473020";"4473020"
"REST_BM";"v1/code_profiler/results";"2";"40834787";"40834787";"5345137";"5345137"
"REST_BM";"v1/code_profiler/results/{breakDownKey}";"1";"7010061";"7010061";"638172";"638172"
"REST_BM";"v1/l10n/{application}/{locale}";"5";"39810947";"39810947";"10504513";"10504513"
"SCRIPT_API";"dw.system.Request#getHttpHost()";"35";"95850";"95850";"1041";"1041"
"SCRIPT_API";"dw.util.List#size()";"35";"88862";"88862";"3379";"3379"
"SCRIPT_API";"dw.web.CSRFProtection#generateToken()";"35";"745677";"745677";"1197";"1197"
"SCRIPT_API";"dw.web.CSRFProtection#getTokenName()";"35";"126924";"126924";"11620";"11620"
"SCRIPT_API";"dw.web.URL#appendCSRFTokenBM()";"4";"55902";"55902";"0";"0"
"SCRIPT_API";"dw.web.URL#toString()";"3";"50992";"50992";"0";"0"
"SCRIPT_API";"dw.web.URLAction(String,String)";"3";"36881";"36881";"0";"0"
"SCRIPT_API";"dw.web.URLUtils#https(dw.web.URLAction,dw.web.URLParameter[])";"3";"41521";"41521";"0";"0"
"SCRIPT_API";"dw.web.URLUtils#url(String,String[])";"1";"9580";"9580";"170";"170"
"SF_PAGE";"/Sites-RefArch-Site/-/null-null";"4";"58103008";"58103008";"20715026";"20715026"
