[2023-01-29 05:52:02.048 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files Executing job [sfcc-cleanup-log-and-impex-files][2497607403]...
[2023-01-29 05:52:02.208 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupOutdatedImpexFiles Executing step [CleanupOutdatedImpexFiles][2175646992] for [Organization]...
[2023-01-29 05:52:02.227 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupOutdatedImpexFiles Using OperationMode = 'Delete'
[2023-01-29 05:52:02.227 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupOutdatedImpexFiles Using Directory = '/Sites/Impex'
[2023-01-29 05:52:02.227 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupOutdatedImpexFiles Using TravelMode = 'Direct Files And Sub Directories'
[2023-01-29 05:52:02.227 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupOutdatedImpexFiles Using ExcludedSubDirectories = 'null'
[2023-01-29 05:52:02.227 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupOutdatedImpexFiles Using ArchiveDirectory = '/Sites/Impex/_trash'
[2023-01-29 05:52:02.227 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupOutdatedImpexFiles Using TouchOnArchive = 'true'
[2023-01-29 05:52:02.227 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupOutdatedImpexFiles Using CompressOnArchive = 'false'
[2023-01-29 05:52:02.227 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupOutdatedImpexFiles Using ExcludeFileNamePrefixesFromCompression = 'null'
[2023-01-29 05:52:02.229 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupOutdatedImpexFiles OperationMode=Delete: Clean up files in directory '/Sites/Impex' and subdirectories older than 30 days (last modified before 2022-12-30T05:52:02.228Z).
[2023-01-29 05:52:02.258 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupOutdatedImpexFiles OperationMode=Delete: Cleaned up 0 outdated files in directory '/Sites/Impex' and subdirectories, freeing up 0 bytes.
[2023-01-29 05:52:02.343 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupOutdatedImpexFiles Execution of step [CleanupOutdatedImpexFiles] finished with status [OK].
[2023-01-29 05:52:02.526 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles Executing step [CleanupExcessiveImpexFiles][2175646994] for [Organization]...
[2023-01-29 05:52:02.549 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles Using OperationMode = 'Delete'
[2023-01-29 05:52:02.549 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles Using Directory = '/Sites/Impex'
[2023-01-29 05:52:02.549 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles Using TravelMode = 'Direct Files And Sub Directories'
[2023-01-29 05:52:02.549 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles Using ExcludedSubDirectories = 'null'
[2023-01-29 05:52:02.549 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles Using ArchiveDirectory = '/Sites/Impex/_trash'
[2023-01-29 05:52:02.549 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles Using TouchOnArchive = 'true'
[2023-01-29 05:52:02.549 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles Using CompressOnArchive = 'false'
[2023-01-29 05:52:02.549 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles Using ExcludeFileNamePrefixesFromCompression = 'null'
[2023-01-29 05:52:02.550 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles OperationMode=Delete: Clean up files and subdirectories in directory '/Sites/Impex' to limit the number of direct children to 100000.
[2023-01-29 05:52:02.554 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles OperationMode=Delete: Cleaned up 0 files in directory '/Sites/Impex' and subdirectories.
[2023-01-29 05:52:02.602 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles Execution of step [CleanupExcessiveImpexFiles] finished with status [OK].
[2023-01-29 05:52:02.695 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|DeleteImpexFilesFromTrash Executing step [DeleteImpexFilesFromTrash][2175646996] for [Organization]...
[2023-01-29 05:52:02.714 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|DeleteImpexFilesFromTrash Using OperationMode = 'Delete'
[2023-01-29 05:52:02.714 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|DeleteImpexFilesFromTrash Using Directory = '/Sites/Impex/_trash'
[2023-01-29 05:52:02.714 GMT] INFO SystemJobThread|1706797701|sfcc-cleanup-log-and-impex-files|DeleteImpexFilesFromTrash Using TravelMode = 'Direct Files And Sub Directories'
